Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"231335 Tejuçuoca";57
"231340 Tianguá";1931
"231350 Trairi";549
"231355 Tururu";197
"231360 Ubajara";899
"231370 Umari";26
"231375 Umirim";95
"231380 Uruburetama";223
"231390 Uruoca";76
"231395 Varjota";165
"231400 Várzea Alegre";496
"231410 Viçosa do Ceará";407
"230000 Município ignorado - CE";586
"240010 Acari";455
"240020 Açu";3672
"240030 Afonso Bezerra";203
"240040 Água Nova";12
"240050 Alexandria";246
"240060 Almino Afonso";53
"240070 Alto do Rodrigues";2298
"240080 Angicos";675
"240090 Antônio Martins";24
"240100 Apodi";787
"240110 Areia Branca";3159
"240120 Arês";829
"240130 Augusto Severo";31
"240140 Baía Formosa";240
"240145 Baraúna";479
"240150 Barcelona";70
"240160 Bento Fernandes";193
"240165 Bodó";56
"240170 Bom Jesus";276
"240180 Brejinho";351
"240185 Caiçara do Norte";169
"240190 Caiçara do Rio do Vento";44
"240200 Caicó";3814
"240210 Campo Redondo";94
"240220 Canguaretama";1146
"240230 Caraúbas";371
"240240 Carnaúba dos Dantas";189
"240250 Carnaubais";270
"240260 Ceará-Mirim";4404
"240270 Cerro Corá";210
"240280 Coronel Ezequiel";24
"240290 Coronel João Pessoa";27
"240300 Cruzeta";115
"240310 Currais Novos";3249
"240320 Doutor Severiano";20
"240330 Encanto";49
"240340 Equador";73
"240350 Espírito Santo";188
"240360 Extremoz";2718
"240370 Felipe Guerra";176
"240375 Fernando Pedroza";79
"240380 Florânia";195
"240390 Francisco Dantas";22
"240400 Frutuoso Gomes";48
"240410 Galinhos";67
"240420 Goianinha";2578
"240430 Governador Dix-Sept Rosado";137
"240440 Grossos";424
"240450 Guamaré";1568
"240460 Ielmo Marinho";90
"240470 Ipanguaçu";363
"240480 Ipueira";15
"240485 Itajá";149
"240490 Itaú";74
"240500 Jaçanã";59
"240510 Jandaíra";152
"240520 Janduís";52
"240530 Januário Cicco";78
"240540 Japi";29
"240550 Jardim de Angicos";23
"240560 Jardim de Piranhas";135
"240570 Jardim do Seridó";356
"240580 João Câmara";1438
"240590 João Dias";11
"240600 José da Penha";45
"240610 Jucurutu";210
"240615 Jundiá";130
"240620 Lagoa d'Anta";76
"240630 Lagoa de Pedras";67
"240640 Lagoa de Velhos";34
"240650 Lagoa Nova";167
"240660 Lagoa Salgada";253
"240670 Lajes";199
"240680 Lajes Pintadas";43
"240690 Lucrécia";52
"240700 Luís Gomes";93
"240710 Macaíba";6772
"240720 Macau";3764
"240725 Major Sales";31
"240730 Marcelino Vieira";87
"240740 Martins";198
"240750 Maxaranguape";222
"240760 Messias Targino";18
"240770 Montanhas";165
"240780 Monte Alegre";619
"240790 Monte das Gameleiras";19
"240800 Mossoró";65042
"240810 Natal";334848
"240820 Nísia Floresta";704
"240830 Nova Cruz";1113
"240840 Olho-d'Água do Borges";39
"240850 Ouro Branco";80
"240860 Paraná";64
"240870 Paraú";150
"240880 Parazinho";116
"240890 Parelhas";512
"240325 Parnamirim";61458
"240910 Passa e Fica";65
"240920 Passagem";22
"240930 Patu";179
"240940 Pau dos Ferros";1699
"240950 Pedra Grande";73
"240960 Pedra Preta";31
"240970 Pedro Avelino";218
"240980 Pedro Velho";284
"240990 Pendências";685
"241000 Pilões";63
"241010 Poço Branco";181
"241020 Portalegre";79
"241025 Porto do Mangue";55
"241030 Presidente Juscelino";105
"241040 Pureza";86
"241050 Rafael Fernandes";76
"241060 Rafael Godeiro";18
"241070 Riacho da Cruz";61
"241080 Riacho de Santana";20
"241090 Riachuelo";189
"240895 Rio do Fogo";358
"241100 Rodolfo Fernandes";22
"241110 Ruy Barbosa";18
"241120 Santa Cruz";1557
"240933 Santa Maria";1198
"241140 Santana do Matos";269
"241142 Santana do Seridó";50
"241150 Santo Antônio";517
"241160 São Bento do Norte";96
"241170 São Bento do Trairí";20
"241180 São Fernando";55
"241190 São Francisco do Oeste";55
"241200 São Gonçalo do Amarante";7892
"241210 São João do Sabugi";86
"241220 São José de Mipibu";1877
"241230 São José do Campestre";199
"241240 São José do Seridó";95
"241250 São Miguel";326
"241255 São Miguel do Gostoso";140
"241260 São Paulo do Potengi";2770
"241270 São Pedro";160
"241280 São Rafael";126
"241290 São Tomé";207
"241300 São Vicente";499
"241310 Senador Elói de Souza";70
"241320 Senador Georgino Avelino";38
"241330 Serra de São Bento";67
"241335 Serra do Mel";262
"241340 Serra Negra do Norte";109
"241350 Serrinha";169
"241355 Serrinha dos Pintos";48
"241360 Severiano Melo";68
"241370 Sítio Novo";43
"241380 Taboleiro Grande";13
"241390 Taipu";202
"241400 Tangará";344
"241410 Tenente Ananias";132
"241415 Tenente Laurentino Cruz";53
"241105 Tibau";56
"241420 Tibau do Sul";853
"241430 Timbaúba dos Batistas";24
"241440 Touros";636
"241445 Triunfo Potiguar";49
"241450 Umarizal";171
"241460 Upanema";159
"241470 Várzea";146
"241475 Venha-Ver";4
"241480 Vera Cruz";236
"241490 Viçosa";54
"241500 Vila Flor";42
"240000 Município ignorado - RN";331
"250010 Água Branca";127
"250020 Aguiar";24
"250030 Alagoa Grande";729
"250040 Alagoa Nova";584
"250050 Alagoinha";202
"250053 Alcantil";28
"250057 Algodão de Jandaíra";10
"250060 Alhandra";638
"250073 Amparo";31
"250077 Aparecida";67
"250080 Araçagi";149
"250090 Arara";141
"250100 Araruna";176
"250110 Areia";950
"250115 Areia de Baraúnas";6
"250120 Areial";54
"250130 Aroeiras";270
"250135 Assunção";26
"250140 Baía da Traição";117
"250150 Bananeiras";607
"250153 Baraúna";7
"250160 Barra de Santa Rosa";179
"250157 Barra de Santana";35
"250170 Barra de São Miguel";99
"250180 Bayeux";6347
"250190 Belém";525
"250200 Belém do Brejo do Cruz";30
"250205 Bernardino Batista";8
"250210 Boa Ventura";39
"250215 Boa Vista";655
"250220 Bom Jesus";35
"250230 Bom Sucesso";53
"250240 Bonito de Santa Fé";75
"250250 Boqueirão";523
"250270 Borborema";23
"250280 Brejo do Cruz";194
"250290 Brejo dos Santos";44
"250300 Caaporã";930
"250310 Cabaceiras";79
"250320 Cabedelo";13734
"250330 Cachoeira dos Índios";24
"250340 Cacimba de Areia";40
"250350 Cacimba de Dentro";64
"250355 Cacimbas";16
"250360 Caiçara";70
"250370 Cajazeiras";2674
"250380 Caldas Brandão";134
"250390 Camalaú";59
"250400 Campina Grande";82811
"251640 Campo de Santana";34
"250403 Capim";18
"250407 Caraúbas";46
"250410 Carrapateira";17
"250415 Casserengue";19
"250420 Catingueira";37
"250430 Catolé do Rocha";863
"250435 Caturité";270
"250440 Conceição";185
"250450 Condado";49
"250460 Conde";797
"250470 Congo";33
"250480 Coremas";210
"250485 Coxixola";3
"250490 Cruz do Espírito Santo";248
"250500 Cubati";48
"250510 Cuité";430
"250523 Cuité de Mamanguape";42
"250520 Cuitegi";71
"250527 Curral de Cima";9
"250530 Curral Velho";16
"250535 Damião";4
"250540 Desterro";60
"250560 Diamante";34
"250570 Dona Inês";57
"250580 Duas Estradas";24
"250590 Emas";14
"250600 Esperança";1073
"250610 Fagundes";138
"250620 Frei Martinho";35
"250625 Gado Bravo";25
"250630 Guarabira";3468
"250640 Gurinhém";156
"250650 Gurjão";28
"250660 Ibiara";34
"250260 Igaracy";46
"250670 Imaculada";32
"250680 Ingá";276
"250690 Itabaiana";957
"250700 Itaporanga";588
"250710 Itapororoca";201
"250720 Itatuba";160
"250730 Jacaraú";122
"250740 Jericó";421
"250750 João Pessoa";239449
"250760 Juarez Távora";78
"250770 Juazeirinho";212
"250780 Junco do Seridó";91
"250790 Juripiranga";142
"250800 Juru";58
"250810 Lagoa";13
"250820 Lagoa de Dentro";21
"250830 Lagoa Seca";1002
"250840 Lastro";10
"250850 Livramento";24
"250855 Logradouro";13
"250860 Lucena";467
